TF,target,importance
TBX21,GZMM,39.61177822
RPS10,RPL24,39.59048316
MYLK,CLEC1B,39.44189006
GATA1,PARD3,39.35342106
FOS,ZFP36L1,39.34470938
RPL35,TPT1,39.33297256
PAX5,RALGPS2,39.2878845
RPS10,NOP53,39.16561619
SPI1,GNAI2,39.13621755
ODC1,PTCRA,39.1249356
KLF4,S100A6,39.09301415
TBX21,CCL5,39.04286375
SPI1,S100A11,39.02039524
KLRG1,KLRB1,38.99139518
RPL6,MT-ND4,38.91056543
SPI1,GSTP1,38.85942449
FOS,MT-ND1,38.85586401
ODC1,TUBA1C,38.84479473
SPIB,IGHD,38.82772936
FOS,BLVRB,38.74496969
SPI1,PYCARD,38.73528094
FOS,CEBPD,38.70656314
RPS4X,MT-ATP6,38.69905317
RPL6,RPL31,38.6479781
HSPA5,HSP90B1,38.63547176
LEF1,PIK3IP1,38.56615996
RPL35,FAU,38.55392
YBX1,HLA-DRB5,38.54917588
YBX1,SLC25A6,38.50576538
CUX2,RHEX,38.46736132
FOS,GRN,38.44413663
RPS10,RPL27,38.38011437
YBX1,PPIA,38.37524041
LEF1,CCR7,38.36936822
SPI1,CTSS,38.3413813
CUX2,IRF8,38.27680838
RPS10,RPL4,38.21294736
FOS,MS4A6A,38.20261277
EEF1D,RPS4X,38.14283896
RPL6,EIF3H,38.11208618
HMGA1,HLA-DQB1,38.06934406
RPS4X,HSPA8,38.03901219
MEF2C,SNX2,38.03625971
PAX5,IGHM,37.93587288
IRF7,RRBP1,37.91808243
HES4,NAP1L1,37.89500954
CUX2,UGCG,37.81640899
ODC1,GP1BA,37.79911138
TCF4,CLIC3,37.78482098
KLF4,S100A11,37.75300151
RPL6,MT-ND5,37.69152822
SPI1,ASAH1,37.65882897
TCF4,AL096865.1,37.62371852
ODC1,PPBP,37.61973439
MYBL2,RHEX,37.57364528
BCL11B,TCF7,37.53260313
KLRG1,LYAR,37.40300404
GATA1,C2orf88,37.36103862
FOS,AC020656.1,37.30368927
TCF7L2,HES4,37.22894865
IRF8,VEGFB,37.20087775
KLF4,FTL,37.19585434
SPI1,HSBP1,37.18778904
FOS,PCBP2,37.18536847
ODC1,CLU,37.16004792
RPL35,RPLP1,37.1515888
IRF8,TCF4,37.12870663
ANXA1,B2M,37.12510904
